,jmeno,prijimeni,telefonni_cislo,cislo_zamestnance,mesto,plat
4,Marcel,Hájek,+421 902 928 669,35,praha,
12,Karolína,Short,721 589 083,53,praha,
13,Michelle,Vlčková,+421 41 720 7806,54,praha,
16,John,Bailey,775 021 116,58,praha,
17,William,Shelton,+421 47 745 8219,60,praha,
18,Miroslava,Veselá,774 029 254,62,praha,
21,Nathan,Svoboda,728 710 923,66,praha,
24,Robert,Říha,727 351 984,72,praha,
33,Jindřich,Howell,+421 39 043 0948,10,plzeň,
34,Alexander,Martinez,721 195 689,13,plzeň,
48,Jennifer,Brown,775 545 190,86,liberec,
50,Robert,Macias,+421 49 929 6856,88,liberec,
55,Ivan,Bartoš,603 226 051,99,liberec,
